City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain Inches (last 3 hrs),Snow Inches (last 3 hrs)
129,Port Hawkesbury,CA,2020-01-05 06:39:38,45.62,-61.36,33.01,100,90,5.82,light snow,0.0,0.0
130,Carnarvon,ZA,2020-01-05 06:39:38,-30.97,22.13,71.24,49,8,4.63,clear sky,0.0,0.0
131,Labuhan,ID,2020-01-05 06:39:38,-2.54,115.51,86.14,63,100,3.27,light rain,0.19,0.0
132,Ballitoville,ZA,2020-01-05 06:39:38,-29.54,31.21,86.0,48,45,10.29,scattered clouds,0.0,0.0
133,Vytegra,RU,2020-01-05 06:39:38,61.01,36.45,30.25,92,99,8.19,light snow,0.0,0.38
134,Palmer,AU,2020-01-05 06:39:39,-34.85,139.16,64.0,51,75,12.75,broken clouds,0.0,0.0
135,Kampot,KH,2020-01-05 06:39:39,10.62,104.18,87.8,48,87,11.41,overcast clouds,0.0,0.0
136,Yellowknife,CA,2020-01-05 06:39:39,62.45,-114.38,0.0,84,90,16.11,light snow,0.0,0.0
137,Nueva Gerona,CU,2020-01-05 06:39:39,21.88,-82.8,76.14,85,17,21.81,light rain,0.31,0.0
138,Thenzawl,IN,2020-01-05 06:39:39,23.28,92.78,68.0,77,75,3.36,mist,0.0,0.0
139,Kodiak,US,2020-01-05 06:39:40,39.95,-94.76,39.0,51,1,12.75,clear sky,0.0,0.0
140,Atuona,PF,2020-01-05 06:39:40,-9.8,-139.03,81.03,70,0,5.41,clear sky,0.0,0.0
141,Lhokseumawe,ID,2020-01-05 06:39:40,5.18,97.15,82.53,64,42,4.59,scattered clouds,0.0,0.0
142,Birao,CF,2020-01-05 06:39:40,10.3,22.78,63.68,20,0,16.17,clear sky,0.0,0.0
143,Upernavik,GL,2020-01-05 06:39:40,72.79,-56.15,-35.79,91,57,9.44,broken clouds,0.0,0.0
144,Mount Isa,AU,2020-01-05 06:39:40,-20.73,139.49,102.2,20,28,5.82,scattered clouds,0.0,0.0
145,Vanimo,PG,2020-01-05 06:39:41,-2.67,141.3,81.61,76,100,3.36,light rain,1.31,0.0
146,Galle,GN,2020-01-05 06:39:41,10.08,-12.83,62.69,50,0,1.05,clear sky,0.0,0.0
147,Bathsheba,BB,2020-01-05 06:39:41,13.22,-59.52,77.0,78,20,6.93,few clouds,0.0,0.0
148,Champerico,MX,2020-01-05 06:39:41,16.38,-93.6,66.2,68,5,10.29,clear sky,0.0,0.0
149,Bohodukhiv,UA,2020-01-05 06:39:41,50.16,35.52,32.0,97,90,2.24,mist,0.0,0.0
150,Banda Aceh,ID,2020-01-05 06:36:43,5.56,95.32,87.19,56,35,9.04,scattered clouds,0.0,0.0
151,Rio Gallegos,AR,2020-01-05 06:39:42,-51.62,-69.22,53.6,66,100,16.11,overcast clouds,0.0,0.0
152,Isangel,VU,2020-01-05 06:39:42,-19.55,169.27,86.0,58,75,17.22,broken clouds,0.0,0.0
