City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
168,Olinda,AU,2020-01-04 22:29:39,-37.84,145.39,57.0,87,90,12.75
169,Napierville,CA,2020-01-04 22:29:39,45.19,-73.4,32.0,86,90,9.17
170,Yellowknife,CA,2020-01-04 22:29:39,62.45,-114.38,3.2,84,90,10.29
171,Senador Jose Porfirio,BR,2020-01-04 22:29:40,-2.59,-51.95,83.55,70,47,1.1
172,Pangnirtung,CA,2020-01-04 22:29:40,66.15,-65.72,-5.8,63,20,21.92
173,Nanortalik,GL,2020-01-04 22:29:40,60.14,-45.24,30.34,89,100,15.46
174,Kalmunai,LK,2020-01-04 22:29:40,7.42,81.82,81.66,75,6,8.43
175,Benghazi,LY,2020-01-04 22:29:41,32.12,20.07,60.73,65,25,12.84
176,Karratha,AU,2020-01-04 22:29:41,-20.74,116.85,83.57,73,100,17.98
177,Lima,PE,2020-01-04 22:29:41,-12.06,-77.04,73.4,83,40,10.29
178,Honningsvag,NO,2020-01-04 22:29:41,70.98,25.97,28.02,74,100,29.89
179,Kpandu,GH,2020-01-04 22:29:41,7.0,0.29,75.33,31,100,2.37
180,Quincy,US,2020-01-04 22:29:42,47.23,-119.85,48.2,45,1,23.04
181,San Patricio,PY,2020-01-04 22:27:09,-26.98,-56.83,90.84,31,0,3.33
182,Burns Lake,CA,2020-01-04 22:25:09,54.23,-125.76,27.95,81,86,5.39
183,Mao,DO,2020-01-04 22:29:42,19.55,-71.08,80.6,69,20,11.41
184,Nouadhibou,MR,2020-01-04 22:29:42,20.93,-17.03,62.6,45,0,9.17
185,Tiznit,MA,2020-01-04 22:28:29,29.7,-9.73,52.93,71,0,1.48
186,Pevek,RU,2020-01-04 22:29:43,69.7,170.27,-5.69,64,0,2.66
187,Coquimbo,CL,2020-01-04 22:25:16,-29.95,-71.34,62.6,77,40,11.41
188,Sonamukhi,IN,2020-01-04 22:29:43,23.3,87.41,64.31,74,100,4.76
189,Westport,US,2020-01-04 22:25:03,41.14,-73.36,50.0,100,90,5.44
190,Yishui,CN,2020-01-04 22:29:43,35.78,118.63,35.28,54,100,2.28
191,Sabya,SA,2020-01-04 22:29:44,17.15,42.62,80.6,78,40,8.05
