City_ID,City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain Inches (last 3 hrs),Snow Inches (last 3 hrs)
68,68,Dingle,PH,2020-01-05 06:15:24,11.0,122.67,80.13,82,41,15.9,light rain,1.13,0.0
69,69,Beian,NO,2020-01-05 06:15:24,63.66,9.57,37.99,80,75,16.11,broken clouds,0.0,0.0
70,70,Uri,IN,2020-01-05 06:15:25,34.09,74.03,33.19,63,82,7.54,broken clouds,0.0,0.0
71,71,Georgetown,GY,2020-01-05 06:11:15,6.8,-58.16,77.95,76,36,12.73,scattered clouds,0.0,0.0
72,72,Chokurdakh,RU,2020-01-05 06:15:25,70.62,147.9,-14.84,96,60,5.88,broken clouds,0.0,0.0
73,73,Broome,GB,2020-01-05 06:15:25,52.47,1.45,45.0,81,90,6.93,overcast clouds,0.0,0.0
74,74,East London,ZA,2020-01-05 06:15:25,-33.02,27.91,73.4,94,90,17.22,overcast clouds,0.0,0.0
75,75,Hilo,US,2020-01-05 06:10:32,19.71,-155.08,75.2,78,75,3.36,broken clouds,0.0,0.0
76,76,Nanortalik,GL,2020-01-05 06:15:26,60.14,-45.24,30.36,77,97,18.05,overcast clouds,0.0,0.0
77,77,Mitchell,US,2020-01-05 06:12:39,43.71,-98.03,37.4,69,1,14.99,clear sky,0.0,0.0
78,78,Rio Negrinho,BR,2020-01-05 06:15:26,-26.26,-49.52,68.0,99,89,2.77,light rain,0.31,0.0
79,79,Lebu,ET,2020-01-05 06:15:26,8.96,38.73,60.8,63,20,4.7,few clouds,0.0,0.0
80,80,Hefei,CN,2020-01-05 06:15:27,31.82,117.22,48.2,100,90,6.71,mist,0.0,0.0
81,81,Seoul,KR,2020-01-05 06:13:33,37.57,126.98,42.8,33,1,2.24,clear sky,0.0,0.0
82,82,Mayo,CA,2020-01-05 06:15:27,63.59,-135.9,-13.0,69,75,8.05,broken clouds,0.0,0.0
83,83,Castro,CL,2020-01-05 06:12:58,-42.48,-73.76,51.8,76,80,4.7,light rain,0.19,0.0
84,84,Chittur,IN,2020-01-05 06:15:28,10.7,76.74,82.4,61,40,6.93,haze,0.0,0.0
85,85,Arraial Do Cabo,BR,2020-01-05 06:15:29,-22.97,-42.02,75.25,88,100,11.14,overcast clouds,0.0,0.0
86,86,Owando,CG,2020-01-05 06:15:29,-0.49,15.91,71.85,66,78,1.23,broken clouds,0.0,0.0
87,87,Faanui,PF,2020-01-05 06:15:29,-16.48,-151.75,81.32,78,83,11.07,light rain,0.63,0.0
88,88,Itarema,BR,2020-01-05 06:15:30,-2.92,-39.92,75.6,92,100,2.91,overcast clouds,0.0,0.0
89,89,Benguela,AO,2020-01-05 06:15:30,-12.58,13.4,77.38,78,100,3.85,light rain,0.87,0.0
90,90,Saldanha,PT,2020-01-05 06:15:30,41.42,-6.55,33.8,89,0,2.19,clear sky,0.0,0.0
91,91,Emerald,AU,2020-01-05 06:15:31,-23.53,148.16,95.0,24,5,8.05,clear sky,0.0,0.0
92,92,Clyde River,CA,2020-01-05 06:15:31,70.47,-68.59,-27.4,60,90,14.99,overcast clouds,0.0,0.0
93,93,Cabo San Lucas,MX,2020-01-05 06:15:31,22.89,-109.91,62.6,77,5,13.87,clear sky,0.0,0.0
94,94,Tigil,RU,2020-01-05 06:15:31,57.8,158.67,12.76,75,17,10.16,few clouds,0.0,0.0
95,95,Qaanaaq,GL,2020-01-05 06:15:31,77.48,-69.36,-39.08,51,0,5.97,clear sky,0.0,0.0
96,96,Hermanus,ZA,2020-01-05 06:15:32,-34.42,19.24,71.01,73,38,3.0,scattered clouds,0.0,0.0
97,97,Severo-Kurilsk,RU,2020-01-05 06:15:32,50.68,156.12,17.76,90,100,6.15,light snow,0.0,0.25
98,98,Canoa,CU,2020-01-05 06:15:32,22.56,-79.83,71.6,100,40,5.82,scattered clouds,0.0,0.0
99,99,North Myrtle Beach,US,2020-01-05 06:14:00,33.83,-78.68,50.0,39,1,11.41,clear sky,0.0,0.0
100,100,Coihaique,CL,2020-01-05 06:15:32,-45.58,-72.07,50.0,71,79,3.36,light rain,0.0,0.0
101,101,Batticaloa,LK,2020-01-05 06:15:33,7.71,81.69,84.65,63,23,6.71,few clouds,0.0,0.0
102,102,Hermiston,US,2020-01-05 06:15:33,45.84,-119.29,45.0,51,1,4.7,clear sky,0.0,0.0
103,103,Salym,RU,2020-01-05 06:15:33,60.06,71.48,23.7,94,100,10.02,overcast clouds,0.0,0.0
104,104,Nioro,GM,2020-01-05 06:15:33,13.79,-15.05,62.42,14,10,10.92,clear sky,0.0,0.0
105,105,Kurchum,KZ,2020-01-05 06:15:33,48.57,83.65,9.18,82,0,0.74,clear sky,0.0,0.0
106,106,Peace River,CA,2020-01-05 06:14:14,56.23,-117.29,-2.2,84,75,1.61,broken clouds,0.0,0.0
107,107,Nyurba,RU,2020-01-05 06:15:34,63.29,118.35,-17.36,98,91,1.34,overcast clouds,0.0,0.0
108,108,Kahului,US,2020-01-05 06:15:34,20.89,-156.47,75.2,78,20,14.99,few clouds,0.0,0.0
109,109,Khovu-Aksy,RU,2020-01-05 06:15:34,51.13,93.72,6.67,72,91,4.85,overcast clouds,0.0,0.0
