City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain Inches (last 3 hrs),Snow Inches (last 3 hrs)
Capreol,CA,2020-01-05 08:41:54,46.71,-80.92,18.0,85,90,6.93,light snow,0.0,0.0
Qaanaaq,GL,2020-01-05 08:41:54,77.48,-69.36,-35.63,52,0,6.46,clear sky,0.0,0.0
Kahului,US,2020-01-05 08:41:54,20.89,-156.47,75.2,73,1,13.87,clear sky,0.0,0.0
Kiama,AU,2020-01-05 08:41:55,-34.67,150.86,69.01,100,71,4.7,light rain,0.19,0.0
Bredasdorp,ZA,2020-01-05 08:41:55,-34.53,20.04,80.6,42,100,11.41,overcast clouds,0.0,0.0
Saint George,GR,2020-01-05 08:41:55,39.45,22.34,48.2,49,40,8.05,scattered clouds,0.0,0.0
Izhma,RU,2020-01-05 08:41:55,65.01,53.91,21.4,93,99,7.18,overcast clouds,0.0,0.0
Sangar,RU,2020-01-05 08:41:56,63.92,127.47,-10.16,91,98,10.83,overcast clouds,0.0,0.0
Mundra,IN,2020-01-05 08:41:56,22.84,69.73,79.61,25,0,10.58,clear sky,0.0,0.0
Coihaique,CL,2020-01-05 08:41:56,-45.58,-72.07,48.2,76,75,4.7,broken clouds,0.0,0.0
Acapulco,MX,2020-01-05 08:41:56,16.86,-99.88,75.2,94,5,6.93,clear sky,0.0,0.0
Upernavik,GL,2020-01-05 08:38:23,72.79,-56.15,-35.14,90,55,10.51,broken clouds,0.0,0.0
Margate,AU,2020-01-05 08:41:57,-43.03,147.26,64.4,45,20,10.29,few clouds,0.0,0.0
Marsabit,KE,2020-01-05 08:41:57,2.34,37.99,84.56,47,56,15.3,broken clouds,0.0,0.0
Port-Cartier,CA,2020-01-05 08:38:37,50.03,-66.88,15.8,72,90,6.93,overcast clouds,0.0,0.0
Alice Town,BS,2020-01-05 08:41:57,25.72,-79.3,70.0,74,61,27.29,broken clouds,0.0,0.0
Yiyang,CN,2020-01-05 08:41:57,28.59,112.35,58.21,78,100,4.32,overcast clouds,0.0,0.0
Arraial Do Cabo,BR,2020-01-05 08:40:20,-22.97,-42.02,74.53,89,68,3.74,broken clouds,0.0,0.0
Thompson,CA,2020-01-05 08:40:02,55.74,-97.86,5.0,92,90,6.93,light snow,0.0,0.0
Praia Da Vitoria,PT,2020-01-05 08:38:42,38.73,-27.07,64.4,93,40,23.73,scattered clouds,0.0,0.0
Makakilo City,US,2020-01-05 08:41:58,21.35,-158.09,75.99,78,75,10.29,heavy intensity rain,0.0,0.0
San Cristobal,HN,2020-01-05 08:41:58,14.68,-86.92,62.98,96,69,3.22,broken clouds,0.0,0.0
Flinders,AU,2020-01-05 08:41:58,-34.58,150.85,70.0,100,71,4.7,light rain,0.19,0.0
Yellowknife,CA,2020-01-05 08:38:52,62.45,-114.38,0.0,77,90,12.75,light snow,0.0,0.0
Nanortalik,GL,2020-01-05 08:41:59,60.14,-45.24,30.45,76,100,21.27,overcast clouds,0.0,0.0
Chuy,UY,2020-01-05 08:41:59,-33.69,-53.46,64.98,87,0,6.6,clear sky,0.0,0.0
Albany,US,2020-01-05 08:37:17,42.65,-73.75,35.6,64,90,18.34,light rain,0.0,0.0
Shadegan,IR,2020-01-05 08:42:00,30.65,48.67,64.4,48,0,13.87,clear sky,0.0,0.0
Tanabe,JP,2020-01-05 08:42:00,33.73,135.39,46.99,45,40,16.11,scattered clouds,0.0,0.0
Mayo,CA,2020-01-05 08:40:07,63.59,-135.9,-14.8,62,20,9.17,few clouds,0.0,0.0
Willmar,US,2020-01-05 08:40:23,45.12,-95.04,30.99,92,75,4.7,broken clouds,0.0,0.0
Rio Pardo De Minas,BR,2020-01-05 08:42:01,-15.62,-42.55,64.89,97,100,5.37,moderate rain,3.81,0.0
Pacific Grove,US,2020-01-05 08:42:01,36.62,-121.92,53.01,93,75,18.84,mist,0.0,0.0
Haines Junction,CA,2020-01-05 08:42:01,60.75,-137.51,-16.65,98,0,3.09,clear sky,0.0,0.0
Wewak,PG,2020-01-05 08:42:02,-3.55,143.63,78.93,86,85,5.39,overcast clouds,0.0,0.0
Khatanga,RU,2020-01-05 08:40:49,71.98,102.47,-20.36,88,0,9.13,clear sky,0.0,0.0
Provideniya,RU,2020-01-05 08:38:45,64.42,-173.23,-9.81,98,90,9.82,light snow,0.0,0.13
Port Elizabeth,US,2020-01-05 08:41:15,39.31,-74.98,42.8,65,90,12.75,overcast clouds,0.0,0.0
Vao,EE,2020-01-05 08:42:02,59.1,26.19,29.53,83,100,12.15,light snow,0.0,0.19
Porto Novo,BR,2020-01-05 08:42:03,-23.68,-45.44,68.0,94,75,1.74,mist,0.0,0.0
Lima,PE,2020-01-05 08:39:21,-12.06,-77.04,69.8,94,90,10.29,overcast clouds,0.0,0.0
Dingle,PH,2020-01-05 08:42:03,11.0,122.67,77.54,87,12,13.18,light rain,0.56,0.0
Gorin,BF,2020-01-05 08:42:03,12.34,-0.67,67.89,18,38,14.85,scattered clouds,0.0,0.0
Presidencia Roque Saenz Pena,AR,2020-01-05 08:42:04,-26.79,-60.44,66.27,50,32,3.29,scattered clouds,0.0,0.0
Pevek,RU,2020-01-05 08:41:42,69.7,170.27,-6.61,72,0,4.38,clear sky,0.0,0.0
Bouar,CF,2020-01-05 08:42:04,5.94,15.59,84.2,17,0,9.17,clear sky,0.0,0.0
Lesu,NG,2020-01-05 08:42:05,9.83,4.39,75.15,24,89,5.55,overcast clouds,0.0,0.0
Nhulunbuy,AU,2020-01-05 08:42:05,-12.18,136.78,87.8,58,40,10.29,scattered clouds,0.0,0.0
Dzhebariki-Khaya,RU,2020-01-05 08:42:05,62.22,135.8,-17.73,93,90,0.34,overcast clouds,0.0,0.0
Lebu,ET,2020-01-05 08:42:05,8.96,38.73,71.78,38,6,3.31,clear sky,0.0,0.0
Burnie,AU,2020-01-05 08:41:51,-41.05,145.91,64.76,50,34,12.86,scattered clouds,0.0,0.0
Itarema,BR,2020-01-05 08:39:51,-2.92,-39.92,75.29,90,100,3.27,overcast clouds,0.0,0.0
Uri,IN,2020-01-05 08:38:02,34.09,74.03,35.49,47,100,3.83,overcast clouds,0.0,0.0
Hambantota,LK,2020-01-05 08:42:06,6.12,81.12,89.6,66,40,12.75,scattered clouds,0.0,0.0
Constitucion,MX,2020-01-05 08:42:06,23.99,-104.67,37.99,62,0,5.01,clear sky,0.0,0.0
Valparaiso,US,2020-01-05 08:39:27,41.47,-87.06,28.4,79,1,6.93,clear sky,0.0,0.0
Ponta Do Sol,BR,2020-01-05 08:42:07,-20.63,-46.0,65.75,95,33,1.39,scattered clouds,0.0,0.0
Dublin,IE,2020-01-05 08:42:07,53.35,-6.26,48.99,81,75,10.29,broken clouds,0.0,0.0
Mahebourg,MU,2020-01-05 08:42:07,-20.41,57.7,82.0,83,75,4.7,broken clouds,0.0,0.0
Codrington,AU,2020-01-05 08:39:34,-28.95,153.24,86.0,51,0,6.93,clear sky,0.0,0.0
Gubkinskiy,RU,2020-01-05 08:42:07,64.43,76.5,22.26,92,100,18.48,overcast clouds,0.0,0.0
Sitka,US,2020-01-05 08:41:31,37.17,-99.65,43.21,56,41,7.83,scattered clouds,0.0,0.0
Kibungo,RW,2020-01-05 08:42:08,-2.14,30.55,73.0,73,88,3.58,light rain,1.13,0.0
Tandil,AR,2020-01-05 08:42:08,-37.33,-59.14,66.0,88,69,5.99,moderate rain,0.0,0.0
Tokonou,GN,2020-01-05 08:42:08,9.65,-9.78,66.45,17,0,4.74,clear sky,0.0,0.0
Road Town,VG,2020-01-05 08:42:08,18.42,-64.62,77.0,83,1,12.95,clear sky,0.0,0.0
Cascais,PT,2020-01-05 08:42:08,38.7,-9.42,48.0,81,0,5.82,clear sky,0.0,0.0
Vagamo,NO,2020-01-05 08:42:09,61.88,9.1,10.99,98,100,7.07,snow,0.0,1.75
Waipawa,NZ,2020-01-05 08:42:09,-39.94,176.59,60.01,89,93,15.99,overcast clouds,0.0,0.0
Hailar,CN,2020-01-05 08:42:09,49.2,119.7,6.31,83,68,3.65,broken clouds,0.0,0.0
Ribeira Grande,PT,2020-01-05 08:41:18,38.52,-28.7,64.4,93,75,20.8,broken clouds,0.0,0.0
Bethel,US,2020-01-05 08:39:27,60.79,-161.76,-11.2,83,1,4.7,clear sky,0.0,0.0
Moussoro,TD,2020-01-05 08:42:10,13.64,16.49,69.44,21,36,17.58,scattered clouds,0.0,0.0
Vardo,US,2020-01-05 08:39:30,39.62,-77.74,39.99,55,90,16.11,light rain,0.0,0.0
Camacha,PT,2020-01-05 08:38:46,33.08,-16.33,60.8,87,20,4.7,few clouds,0.0,0.0
Hasaki,JP,2020-01-05 08:39:05,35.73,140.83,43.0,45,20,5.82,few clouds,0.0,0.0
Hun,BE,2020-01-05 08:42:10,50.34,4.87,43.0,86,75,3.36,broken clouds,0.0,0.0
Terney,RU,2020-01-05 08:42:11,45.05,136.61,9.5,81,0,7.65,clear sky,0.0,0.0
Sao Jose Da Coroa Grande,BR,2020-01-05 08:42:11,-8.9,-35.15,79.52,76,93,11.39,light rain,0.13,0.0
Bell Ville,AR,2020-01-05 08:42:11,-32.63,-62.69,64.0,88,0,1.99,clear sky,0.0,0.0
Khuzhir,RU,2020-01-05 08:42:11,53.19,107.35,23.72,88,91,8.43,overcast clouds,0.0,0.0
Tomatlan,MX,2020-01-05 08:42:11,19.93,-105.25,56.82,37,24,4.61,few clouds,0.0,0.0
Dunedin,NZ,2020-01-05 08:39:15,-45.87,170.5,54.34,60,0,26.84,clear sky,0.0,0.0
Jiangyou,CN,2020-01-05 08:42:12,31.78,104.73,41.05,67,100,3.31,overcast clouds,0.0,0.0
Namibe,AO,2020-01-05 08:39:25,-15.19,12.15,73.4,94,90,5.03,overcast clouds,0.0,0.0
Sistranda,NO,2020-01-05 08:42:12,63.73,8.83,39.99,86,90,27.51,light rain and snow,0.0,0.0
Sambava,MG,2020-01-05 08:42:12,-14.27,50.17,84.78,75,100,3.83,light rain,2.44,0.0
Jamestown,AU,2020-01-05 08:42:13,-33.21,138.6,55.15,83,100,11.7,light rain,0.81,0.0
Filadelfia,PY,2020-01-05 08:42:13,-22.35,-60.04,70.79,40,0,4.47,clear sky,0.0,0.0
Salinas,US,2020-01-05 08:42:13,36.67,-121.66,52.0,93,75,7.2,mist,0.0,0.0
Leningradskiy,RU,2020-01-05 08:42:13,69.38,178.42,-10.86,57,0,3.27,clear sky,0.0,0.0
Bandarbeyla,SO,2020-01-05 08:42:14,9.49,50.81,78.06,75,0,12.46,clear sky,0.0,0.0
Rio Gallegos,AR,2020-01-05 08:42:14,-51.62,-69.22,52.38,76,100,9.28,overcast clouds,0.0,0.0
Arlit,NE,2020-01-05 08:42:14,18.74,7.39,63.57,22,0,18.54,clear sky,0.0,0.0
Torbay,CA,2020-01-05 08:42:15,47.66,-52.73,30.99,92,90,2.24,overcast clouds,0.0,0.0
Jawhar,IN,2020-01-05 08:42:15,19.91,73.23,87.57,27,0,4.27,clear sky,0.0,0.0
Nouadhibou,MR,2020-01-05 08:42:15,20.93,-17.03,59.0,30,14,21.92,few clouds,0.0,0.0
Biltine,TD,2020-01-05 08:42:15,14.53,20.93,74.84,18,3,13.71,clear sky,0.0,0.0
San Quintin,PH,2020-01-05 08:42:15,17.54,120.52,79.12,67,59,0.22,broken clouds,0.0,0.0
Dinar,TR,2020-01-05 08:42:16,38.07,30.16,35.6,69,75,2.24,broken clouds,0.0,0.0
Prince George,CA,2020-01-05 08:40:50,53.92,-122.75,28.4,68,20,13.87,few clouds,0.0,0.0
Norman Wells,CA,2020-01-05 08:42:16,65.28,-126.83,-20.2,75,75,6.93,light snow,0.0,0.0
Faanui,PF,2020-01-05 08:38:17,-16.48,-151.75,81.39,78,87,11.79,light rain,0.44,0.0
Kavieng,PG,2020-01-05 08:42:16,-2.57,150.8,84.85,74,55,10.71,light rain,0.94,0.0
Georgetown,GY,2020-01-05 08:40:17,6.8,-58.16,68.0,100,20,12.73,few clouds,0.0,0.0
Luderitz,NA,2020-01-05 08:42:17,-26.65,15.16,61.59,88,0,11.5,clear sky,0.0,0.0
Charters Towers,AU,2020-01-05 08:42:17,-20.07,146.27,81.01,58,31,17.65,scattered clouds,0.0,0.0
Nanakuli,US,2020-01-05 08:42:17,21.39,-158.15,75.99,78,75,10.29,heavy intensity rain,0.0,0.0
Yeppoon,AU,2020-01-05 08:42:18,-23.13,150.74,82.4,54,72,10.29,broken clouds,0.0,0.0
Dikson,RU,2020-01-05 08:42:18,73.51,80.55,9.73,84,100,23.96,light snow,0.0,0.5
Dawson Creek,CA,2020-01-05 08:42:18,55.76,-120.23,-5.8,76,1,2.57,clear sky,0.0,0.0
Muisne,EC,2020-01-05 08:42:18,0.61,-80.02,75.15,88,100,6.26,light rain,0.19,0.0
Soe,EE,2020-01-05 08:42:19,57.91,26.05,32.0,70,82,10.29,broken clouds,0.0,0.0
Husavik,CA,2020-01-05 08:39:11,50.56,-96.99,25.0,85,100,11.99,light snow,0.0,0.38
Opotiki,NZ,2020-01-05 08:42:19,-38.01,177.29,60.15,70,61,7.76,broken clouds,0.0,0.0
Harindanga,IN,2020-01-05 08:42:19,22.04,88.32,66.2,88,75,6.93,haze,0.0,0.0
Kamariotissa,GR,2020-01-05 08:42:20,40.48,25.47,50.0,65,40,10.29,scattered clouds,0.0,0.0
Sobolevo,RU,2020-01-05 08:42:20,54.43,31.9,30.78,82,2,8.52,clear sky,0.0,0.0
Inhambane,MZ,2020-01-05 08:39:29,-23.87,35.38,87.8,55,20,6.93,few clouds,0.0,0.0
San Andres,PH,2020-01-05 08:42:20,13.32,122.68,77.07,77,71,12.88,broken clouds,0.0,0.0
Lagoa,PT,2020-01-05 08:42:20,37.14,-8.45,53.6,76,20,10.29,few clouds,0.0,0.0
Sakaiminato,JP,2020-01-05 08:39:05,35.55,133.23,46.4,65,75,3.36,broken clouds,0.0,0.0
Tchibanga,GA,2020-01-05 08:42:21,-2.92,11.0,84.65,73,69,1.59,broken clouds,0.0,0.0
Skibbereen,IE,2020-01-05 08:42:21,51.55,-9.27,48.2,93,75,18.34,light rain,0.0,0.0
La Ronge,CA,2020-01-05 08:42:21,55.1,-105.3,21.2,85,90,13.87,light snow,0.0,0.0
Mezhdurechensk,RU,2020-01-05 08:42:21,53.69,88.07,29.32,78,100,5.75,overcast clouds,0.0,0.0
Saratovskaya,RU,2020-01-05 08:42:21,44.71,39.22,46.99,63,0,4.47,clear sky,0.0,0.0
Mehamn,NO,2020-01-05 08:42:22,71.03,27.85,24.42,88,100,22.24,light snow,0.0,1.06
Abu Zabad,SD,2020-01-05 08:42:22,12.35,29.25,69.78,22,0,19.3,clear sky,0.0,0.0
Noyabrsk,RU,2020-01-05 08:42:22,63.2,75.45,26.1,94,100,18.05,overcast clouds,0.0,0.0
Talnakh,RU,2020-01-05 08:41:59,69.49,88.39,12.2,85,90,35.79,overcast clouds,0.0,0.0
Avera,US,2020-01-05 08:42:22,33.19,-82.53,41.0,74,1,3.36,clear sky,0.0,0.0
Saint-Denis,FR,2020-01-05 08:42:22,48.94,2.36,45.0,87,90,2.24,overcast clouds,0.0,0.0
Zunyi,CN,2020-01-05 08:42:23,27.73,106.92,64.8,72,97,12.95,light rain,0.19,0.0
Reitz,ZA,2020-01-05 08:42:23,-27.8,28.43,83.7,32,0,11.23,clear sky,0.0,0.0
Monrovia,LR,2020-01-05 08:42:23,6.33,-10.8,66.2,93,20,4.7,mist,0.0,0.0
Chiredzi,ZW,2020-01-05 08:42:23,-21.05,31.67,100.0,24,97,4.27,overcast clouds,0.0,0.0
Hilo,US,2020-01-05 08:38:18,19.71,-155.08,73.4,78,1,6.93,light rain,0.0,0.0
Langham,CA,2020-01-05 08:42:24,52.36,-106.96,27.0,73,40,17.22,scattered clouds,0.0,0.0
Okhotsk,RU,2020-01-05 08:42:24,59.36,143.24,13.98,87,100,10.45,overcast clouds,0.0,0.0
Kruisfontein,ZA,2020-01-05 08:38:20,-34.0,24.73,74.75,52,23,19.91,few clouds,0.0,0.0
Kjollefjord,NO,2020-01-05 08:42:24,70.95,27.35,26.35,79,100,25.43,light snow,0.0,1.19
Morondava,MG,2020-01-05 08:42:24,-20.3,44.28,97.59,42,11,5.1,few clouds,0.0,0.0
Novoagansk,RU,2020-01-05 08:42:25,61.94,76.66,28.36,93,100,14.61,light snow,0.0,0.13
Hithadhoo,MV,2020-01-05 08:38:29,-0.6,73.08,84.61,68,64,8.01,broken clouds,0.0,0.0
Abnub,EG,2020-01-05 08:42:25,27.27,31.15,54.45,38,0,6.87,clear sky,0.0,0.0
Wairoa,NZ,2020-01-05 08:42:25,-39.04,177.43,68.0,56,20,18.01,few clouds,0.0,0.0
Baykit,RU,2020-01-05 08:42:25,61.68,96.39,8.58,93,100,5.55,overcast clouds,0.0,0.0
Pochutla,MX,2020-01-05 08:42:25,15.74,-96.47,73.0,83,40,5.82,scattered clouds,0.0,0.0
Ketchikan,US,2020-01-05 08:42:26,55.34,-131.65,35.6,93,90,4.7,light rain,0.0,0.0
Barcelona,ES,2020-01-05 08:42:26,41.38,2.18,53.01,60,0,18.34,clear sky,0.0,0.0
Ayan,IR,2020-01-05 08:42:26,38.23,44.7,23.11,69,100,4.07,overcast clouds,0.0,0.0
Erzin,TR,2020-01-05 08:42:26,36.95,36.2,53.6,40,0,8.05,clear sky,0.0,0.0
Quelimane,MZ,2020-01-05 08:42:26,-17.88,36.89,82.4,83,40,4.7,scattered clouds,0.0,0.0
Sokoni,CD,2020-01-05 08:42:26,-12.89,28.78,67.08,92,100,4.36,light rain,0.88,0.0
Santa Cruz Del Sur,CU,2020-01-05 08:42:27,20.71,-78.0,77.07,81,3,10.45,clear sky,0.0,0.0
Atrauli,IN,2020-01-05 08:42:27,28.04,78.28,68.77,40,0,9.37,clear sky,0.0,0.0
Saldanha,PT,2020-01-05 08:41:38,41.42,-6.55,36.12,83,0,1.68,clear sky,0.0,0.0
Namatanai,PG,2020-01-05 08:42:27,-3.66,152.44,84.52,71,100,5.17,moderate rain,3.75,0.0
East London,ZA,2020-01-05 08:42:27,-33.02,27.91,73.4,94,90,17.22,overcast clouds,0.0,0.0
Porto Velho,BR,2020-01-05 08:42:28,-8.75,-63.87,75.2,94,75,4.7,broken clouds,0.0,0.0
Isangel,VU,2020-01-05 08:42:28,-19.55,169.27,76.48,81,39,16.51,light rain,0.13,0.0
Mahmudabad,IN,2020-01-05 08:42:28,27.3,81.13,64.4,68,0,6.93,haze,0.0,0.0
Carauari,BR,2020-01-05 08:42:28,-4.88,-66.9,72.79,96,78,1.16,broken clouds,0.0,0.0
Baneh,IR,2020-01-05 08:42:28,35.99,45.88,28.33,87,100,5.46,overcast clouds,0.0,0.0
Hisai,JP,2020-01-05 08:42:29,34.67,136.47,46.4,49,20,28.86,few clouds,0.0,0.0
Tautira,PF,2020-01-05 08:42:29,-17.73,-149.15,80.01,83,20,4.7,few clouds,0.0,0.0
La Mana,EC,2020-01-05 08:42:29,-0.93,-79.22,42.8,93,20,1.12,few clouds,0.0,0.0
Bambous Virieux,MU,2020-01-05 08:42:29,-20.34,57.76,82.0,83,75,4.7,broken clouds,0.0,0.0
Mezen,RU,2020-01-05 08:42:30,65.85,44.24,15.55,88,9,10.89,clear sky,0.0,0.0
Guerrero Negro,MX,2020-01-05 08:42:30,27.97,-114.04,58.55,59,0,3.76,clear sky,0.0,0.0
Lorengau,PG,2020-01-05 08:42:30,-2.02,147.27,83.98,74,100,13.91,overcast clouds,0.0,0.0
Goderich,CA,2020-01-05 08:38:32,43.74,-81.71,34.0,83,100,17.0,light snow,0.0,0.5
Saint-Pierre,FR,2020-01-05 08:41:32,48.95,4.24,35.6,100,0,3.36,mist,0.0,0.0
Gornopravdinsk,RU,2020-01-05 08:42:30,60.06,69.92,27.32,93,100,9.8,overcast clouds,0.0,0.0
Churapcha,RU,2020-01-05 08:42:31,62.0,132.43,-10.84,97,99,5.93,light snow,0.0,0.13
Jambusar,IN,2020-01-05 08:42:31,22.05,72.81,77.0,41,0,6.93,clear sky,0.0,0.0
